Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
HC-01	23679951	2953661	23679951	2391675051	176400624	2057307652	13.980469414530008
HC-02	31776032	216345	31776032	3177603200	59380884	3114224916	1.9945310981559938
HC-03	18565457	95418	18565457	1856545700	26852831	1827211224	1.5800567688691962
HC-04	29031879	7783943	29031879	2932219779	349471694	2100876306	28.352017776904848
HC-05	24896355	2801486	24896355	2514531855	181516389	2160791057	14.067859084648582
HC-06	24802865	859220	24802865	2505089365	92282346	2363470494	5.653246266525905
Lung-01	28274822	3558707	28274822	2855757022	161779845	2493622559	12.680856957024405
Lung-0119	11784423	23600	11784423	1190226723	57831209	1132055532	4.887404212651004
Lung-07	21477112	1744236	21477112	2169188312	94570806	1975846195	8.913108923297573
Lung-12	15859156	1097641	15859156	1601774756	77292557	1458147213	8.966775288597443
Lung-16	39827060	2799216	39827060	4022533060	187404226	3674182651	8.659976283700201
Lung-17	24991176	1455622	24991176	2524108776	98251353	2335360142	7.477832801608229
