Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
HC-01	27390985	7381248	0	0	0	0	0	0	0	9685493	0	0	9824714	24490	475040	26.947727509616758
HC-02	36420977	6049838	0	0	0	0	0	0	0	7349117	0	0	22680822	39219	301981	16.610861372554613
HC-03	21499738	3337282	0	0	0	0	0	0	0	4552762	0	0	13414947	24044	170703	15.522431017531469
HC-04	25956919	6839690	0	0	0	0	0	0	0	8405138	0	0	10270547	23850	417694	26.350161203646707
HC-05	26719151	7914455	0	0	0	0	0	0	0	10622819	0	0	7772946	17587	391344	29.620907490660915
HC-06	31860109	9346942	0	0	0	0	0	0	0	12763927	0	0	8916275	20905	812060	29.33744514182296
Lung-01	24530047	8512663	0	0	0	0	0	0	0	7009316	0	0	8288905	20526	698637	34.70300321886868
Lung-0119	16301916	6949034	0	0	0	0	0	0	0	7678863	0	0	1374732	3971	295316	42.62709978385363
Lung-07	19382800	8443834	0	0	0	0	0	0	0	5451667	0	0	4937500	13305	536494	43.56354087128795
Lung-12	18806499	10334258	0	0	0	0	0	0	0	6608656	0	0	898178	8353	957054	54.95046153991766
Lung-16	28340109	13763564	0	0	0	0	0	0	0	9116347	0	0	4455578	15978	988642	48.56567065426601
Lung-17	26645600	13390196	0	0	0	0	0	0	0	8678795	0	0	3295149	14904	1266556	50.252934818506624
