Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HC-01	26.947727509616758	7381248	82.56	17705492.0	13.980469414530008	40.970481281992434	39.0	95.0703400923316	0.0	21446176.0
HC-02	16.610861372554613	6049838	91.57	29071860.0	1.9945310981559938	15.239180089556669	39.0	98.01249014109048	0.0	31749201.0
HC-03	15.522431017531469	3337282	91.4	16946976.0	1.5800567688691962	13.613497101353985	40.0	98.49539824709817	0.0	18542282.0
HC-04	26.350161203646707	6839690	81.03	17551781.0	28.352017776904848	48.7922435765206	40.0	96.11460667746067	0.0	21661408.0
HC-05	29.620907490660915	7914455	72.19	16096332.0	14.067859084648582	46.76060578082251	42.0	96.0353858699245	0.0	22296866.0
HC-06	29.33744514182296	9346942	79.22	19096182.0	5.653246266525905	47.14815866185928	42.0	97.14910924595361	0.0	24106037.0
Lung-01	34.70300321886868	8512663	69.14	17520731.0	12.680856957024405	45.34654001581914	43.0	97.51912971216423	0.0	25340214.0
Lung-0119	42.62709978385363	6949034	73.56	8623053.0	4.887404212651004	70.50579590183625	42.0	95.66234757768555	36.36363636363637	11722611.0
Lung-07	43.56354087128795	8443834	69.28	13931133.0	8.913108923297573	46.529428736677936	44.0	97.37317349277473	0.0	20108872.0
Lung-12	54.95046153991766	10334258	82.28	12197843.0	8.966775288597443	72.08137012275992	45.0	97.47803776460182	9.090909090909092	14825153.0
Lung-16	48.56567065426601	13763564	51.4	19223762.0	8.659976283700201	72.13056891849911	45.0	97.36283228955601	18.181818181818183	37397504.0
Lung-17	50.252934818506624	13390196	75.91	17966805.0	7.477832801608229	62.73938358670094	45.0	97.77946084364953	9.090909090909092	23668051.0
