Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
HC-01_trimmed.read_distribution	20479998	22667884	18431217	37894806	5008397	132.17	18702169	338973	18.12	47661769	5058266	106.13	1441844480	6490529	4.5	25843081	56981	2.2	116247589	298857	2.57	212225836	684995	3.23	27646946	88764	3.21	120078703	503789	4.2	214256932	850057	3.97	4236667	22.094682503227915	1.4953888064717467	22.314680982133137	28.6331489961745	0.25137326448291336	1.318415958013549	3.021874472270989	0.39158485194295156	2.2224791692069714	3.7500500708403135	18.690174168881402
HC-02_trimmed.read_distribution	31259272	33001807	23458061	37894806	3624049	95.63	18702169	231805	12.39	47661769	3739026	78.45	1441844480	13474048	9.35	25843081	87667	3.39	116247589	522077	4.49	212225836	1113837	5.25	27646946	160666	5.81	120078703	727246	6.06	214256932	1275296	5.95	9543746	10.981365353721388	0.7024009321671386	11.329761427912114	40.82821283089135	0.2656430297892476	1.5819648905891728	3.375078825229176	0.48684000848802	2.2036550907651815	3.8643217324433174	28.918858897635513
HC-03_trimmed.read_distribution	18265954	19285846	13682294	37894806	1964618	51.84	18702169	147956	7.91	47661769	2086435	43.78	1441844480	8004355	5.55	25843081	56194	2.17	116247589	326161	2.81	212225836	707111	3.33	27646946	93580	3.38	120078703	432850	3.6	214256932	771819	3.6	5603552	10.186838575813578	0.7671740197448429	10.81847796565419	41.5037795075207	0.29137430631770056	1.6911936349590266	3.666476440805345	0.4852263157136068	2.2443920790407637	4.001997112286388	29.05525637817496
HC-04_trimmed.read_distribution	20006407	21710395	17252408	37894806	4507159	118.94	18702169	273970	14.65	47661769	4462312	93.62	1441844480	6422938	4.45	25843081	62373	2.41	116247589	327670	2.82	212225836	725668	3.42	27646946	98073	3.55	120078703	496714	4.14	214256932	860361	4.02	4457987	20.760373083953564	1.261930057007254	20.55380383452259	29.58462063909938	0.28729555588463496	1.5092770076269917	3.342491004884987	0.45173291411786837	2.2879086262594486	3.962898878624733	20.533882501907495
HC-05_trimmed.read_distribution	18887135	20648163	16854856	37894806	4391055	115.87	18702169	314480	16.82	47661769	5800887	121.71	1441844480	4892216	3.39	25843081	53501	2.07	116247589	275836	2.37	212225836	607933	2.86	27646946	76658	2.77	120078703	478940	3.99	214256932	848285	3.96	3793307	21.266080667805653	1.5230410569695716	28.093961675912766	23.693226365948387	0.25910779569107434	1.33588639338037	2.944247388980802	0.3712582082967865	2.3195283764468537	4.108283143638492	18.37115970074432
HC-06_trimmed.read_distribution	22660990	25715254	21522591	37894806	7555260	199.37	18702169	452539	24.2	47661769	6182023	129.71	1441844480	5709793	3.96	25843081	57737	2.23	116247589	304907	2.62	212225836	645660	3.04	27646946	90400	3.27	120078703	548661	4.57	214256932	977316	4.56	4192663	29.380460329110498	1.7598076223551984	24.04029530488013	22.203914454821252	0.22452432318965232	1.1857047960716234	2.5108054542257294	0.35154231803426866	2.13360132472345	3.800530222256408	16.304186612350787
Lung-0119_trimmed.read_distribution	10559903	11763410	10560440	37894806	3044980	80.35	18702169	319057	17.06	47661769	5526288	115.95	1441844480	1148899	0.8	25843081	11932	0.46	116247589	67398	0.58	212225836	299759	1.41	27646946	22158	0.8	120078703	182431	1.52	214256932	221457	1.03	1202970	25.885181252714982	2.7122832580008684	46.978622695289886	9.766717303911026	0.10143317286399098	0.5729461100140181	2.5482321877754837	0.1883637482668716	1.550834324400833	1.8825918674942044	10.226371434813544
Lung-01_trimmed.read_distribution	19979993	22675204	18432180	37894806	6432545	169.75	18702169	382840	20.47	47661769	5915309	124.11	1441844480	4667311	3.24	25843081	59289	2.29	116247589	274506	2.36	212225836	497303	2.34	27646946	89054	3.22	120078703	328642	2.74	214256932	536872	2.51	4243024	28.368190204595294	1.6883640826340525	26.087125831370688	20.58332529224434	0.26147063550122857	1.2105999134561258	2.1931577771031296	0.39273737074206694	1.4493452848318367	2.367661168561041	18.712175643491456
Lung-07_trimmed.read_distribution	15838045	17875175	15271242	37894806	5289260	139.58	18702169	330032	17.65	47661769	6001025	125.91	1441844480	2934038	2.03	25843081	43738	1.69	116247589	192435	1.66	212225836	330454	1.56	27646946	68268	2.47	120078703	256692	2.14	214256932	386433	1.8	2603933	29.589976042192596	1.8463147913237214	33.57183915681944	16.41403790452401	0.24468571636361602	1.0765489009198512	1.8486756073716761	0.381915142089518	1.4360251018521497	2.1618417721784544	14.5673147255901
Lung-12_trimmed.read_distribution	14461209	18151574	17300675	37894806	9090682	239.89	18702169	474829	25.39	47661769	6708453	140.75	1441844480	770799	0.53	25843081	18699	0.72	116247589	76508	0.66	212225836	108027	0.51	27646946	37811	1.37	120078703	113740	0.95	214256932	147885	0.69	850899	50.08205899940137	2.615910884642841	36.9579684935312	4.246458185940238	0.10301585967145328	0.4214951276401705	0.5951384711871268	0.2083070041198631	0.6266123257410073	0.8147227342378133	4.687742231059412
