Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
HC-01	21446176.0	95.0	17705492.0	82.56	97.09	1561640.0	1470056.0	1519482.0	9938.0	912.0	31308.0	0.47	0.02	1.38	0.01	1.33	2774506.0	12.94	139020.0	0.65	0.0	3.46	0.4	0	741442	85716
HC-02	31749201.0	98.0	29071860.0	91.57	98.33	893811.0	834566.0	869531.0	7508.0	693.0	16079.0	0.33	0.02	1.45	0.01	1.33	2187412.0	6.89	138353.0	0.44	0.0	0.77	0.34	0	243886	107690
HC-03	18542282.0	98.0	16946976.0	91.4	98.74	513178.0	475057.0	498264.0	4470.0	393.0	10051.0	0.31	0.02	1.46	0.01	1.33	1318978.0	7.11	73586.0	0.4	0.0	0.78	0.31	0	145081	57661
HC-04	21661408.0	96.0	17551781.0	81.03	97.91	1140001.0	1060992.0	1109237.0	6800.0	577.0	23387.0	0.39	0.02	1.39	0.01	1.35	2454626.0	11.33	122809.0	0.57	0.0	6.62	0.46	0	1432643	99549
HC-05	22296866.0	96.0	16096332.0	72.19	98.03	1141046.0	1055981.0	1115692.0	5348.0	583.0	19423.0	0.41	0.02	1.26	0.01	1.4	2790803.0	12.52	150157.0	0.67	0.0	14.11	0.51	0	3145868	113706
HC-06	24106037.0	98.0	19096182.0	79.22	98.64	2139298.0	2032387.0	2097115.0	10793.0	1294.0	30096.0	0.36	0.02	1.33	0.01	1.35	3564808.0	14.79	108933.0	0.45	0.0	5.22	0.32	0	1258938	77176
Lung-01	25340214.0	98.0	17520731.0	69.14	98.55	2006365.0	1908269.0	1969934.0	9245.0	951.0	26235.0	0.28	0.01	1.4	0.01	1.68	2459262.0	9.7	129131.0	0.51	0.0	19.88	0.77	0	5036032	195058
Lung-0119	11722611.0	96.0	8623053.0	73.56	95.79	804982.0	749923.0	790001.0	4331.0	491.0	10159.0	0.44	0.03	1.13	0.0	1.27	1936850.0	16.52	92493.0	0.79	0.0	9.05	0.08	0	1060837	9378
Lung-07	20108872.0	98.0	13931133.0	69.28	98.29	1485867.0	1407651.0	1459288.0	5805.0	942.0	19832.0	0.29	0.02	1.28	0.01	1.56	1906912.0	9.48	82098.0	0.41	0.0	20.22	0.61	0	4066063	122666
Lung-12	14825153.0	98.0	12197843.0	82.28	98.27	2946246.0	2848035.0	2908427.0	13555.0	1507.0	22757.0	0.27	0.02	1.3	0.0	1.33	2263366.0	15.27	17607.0	0.12	0.0	2.22	0.12	0	328576	17761
Lung-16	37397504.0	98.0	19223762.0	51.4	97.74	3856096.0	3727979.0	3805496.0	13809.0	1881.0	34910.0	0.98	0.02	1.28	0.01	1.47	3271235.0	8.75	87447.0	0.23	0.0	39.32	0.29	0	14706593	108467
Lung-17	23668051.0	98.0	17966805.0	75.91	98.76	3635521.0	3491235.0	3581634.0	17390.0	2513.0	33984.0	0.26	0.02	1.25	0.0	1.45	2993188.0	12.65	55985.0	0.24	0.0	10.88	0.32	0	2576299	75774
